left_shoulder_elbow_angle,left_elbow_wrist_angle,right_shoulder_elbow_angle,right_shoulder_left_shoulder,right_elbow_wrist_angle,left_shoulder_x_rel,left_shoulder_y_rel,left_elbow_x_rel,left_elbow_y_rel,left_wrist_x_rel,left_wrist_y_rel,right_shoulder_x_rel,right_shoulder_y_rel,right_elbow_x_rel,right_elbow_y_rel,right_wrist_x_rel,right_wrist_y_rel,status
30,83,92,174,16,0.0890411,0.10252366,-0.00587084,0.08675079,0.09980431,0.2444795,-0.00195695,0.23974763,0.10176125,0.37697161,-0.0146771,0.34700315,1
31,83,90,176,16,0.09082031,0.10377358,-0.00878906,0.0927673,0.1015625,0.25471698,-0.0078125,0.24685535,0.10351562,0.38836478,-0.02539062,0.36477987,1
32,83,91,177,16,0.09082031,0.10062893,-0.01367188,0.0927673,0.1015625,0.25471698,-0.01171875,0.24685535,0.10449219,0.39308176,-0.02734375,0.37264151,1
31,83,90,177,16,0.09170732,0.0990566,-0.01365854,0.09119497,0.10243902,0.25471698,-0.01268293,0.24371069,0.10536585,0.39465409,-0.02829268,0.36949686,1
32,83,90,177,16,0.09170732,0.09733124,-0.01365854,0.09105181,0.10341463,0.25431711,-0.01268293,0.24175824,0.10536585,0.39403454,-0.02731707,0.3689168,1
32,83,90,177,17,0.09347614,0.09733124,-0.01168452,0.09105181,0.10516066,0.25274725,-0.01071081,0.24175824,0.10710808,0.39403454,-0.02726388,0.3689168,1
32,82,90,178,17,0.09435798,0.0927673,-0.01070039,0.08962264,0.10700389,0.25,-0.00972763,0.24056604,0.10894942,0.39150943,-0.02529183,0.36949686,1
31,81,90,178,17,0.0952381,0.0927673,-0.00971817,0.08962264,0.10884354,0.24842767,-0.00874636,0.24056604,0.10981535,0.39150943,-0.02429543,0.36792453,1
31,81,90,178,18,0.09620991,0.0927673,-0.00971817,0.08962264,0.10981535,0.24528302,-0.00874636,0.24056604,0.10981535,0.39150943,-0.02332362,0.36792453,1
31,81,90,178,18,0.09708738,0.09419152,-0.00873786,0.09105181,0.11165049,0.24646782,-0.00776699,0.24175824,0.11165049,0.39246468,-0.0223301,0.3689168,1
31,81,90,178,18,0.09708738,0.09419152,-0.00776699,0.09105181,0.11165049,0.24646782,-0.00679612,0.24175824,0.11165049,0.39246468,-0.02135922,0.36577708,1
31,81,90,178,18,0.09708738,0.09419152,-0.00776699,0.09105181,0.11165049,0.24646782,-0.00679612,0.24018838,0.11165049,0.39246468,-0.02135922,0.36577708,1
30,81,90,178,18,0.09708738,0.09561129,-0.00776699,0.09247649,0.11165049,0.2476489,-0.00679612,0.24137931,0.11165049,0.39498433,-0.02135922,0.36520376,1
30,81,91,177,18,0.09708738,0.09717868,-0.00776699,0.09090909,0.11165049,0.2476489,-0.00582524,0.23981191,0.11165049,0.39498433,-0.02135922,0.36363636,1
30,81,91,177,18,0.09708738,0.09717868,-0.00776699,0.09090909,0.11165049,0.2476489,-0.00582524,0.23981191,0.11165049,0.39498433,-0.02038835,0.36206897,1
29,81,91,177,18,0.09708738,0.09717868,-0.00776699,0.09090909,0.11165049,0.2476489,-0.00582524,0.23824451,0.11165049,0.39498433,-0.02038835,0.35893417,1
29,81,91,177,18,0.09708738,0.09717868,-0.00776699,0.09090909,0.11165049,0.2476489,-0.00582524,0.23824451,0.11165049,0.39498433,-0.01941748,0.35893417,1
29,81,91,177,18,0.09708738,0.09717868,-0.00776699,0.08934169,0.11165049,0.2476489,-0.00582524,0.23824451,0.11165049,0.39498433,-0.01941748,0.35893417,1
29,81,90,177,18,0.09708738,0.09717868,-0.00776699,0.08934169,0.11165049,0.2476489,-0.00679612,0.23824451,0.11165049,0.39498433,-0.01941748,0.35893417,1
30,81,91,177,18,0.09620991,0.09717868,-0.00874636,0.08934169,0.11078717,0.2476489,-0.00680272,0.23824451,0.11078717,0.39341693,-0.02040816,0.35893417,1
30,81,91,177,18,0.09620991,0.09717868,-0.00874636,0.08934169,0.11078717,0.2476489,-0.00680272,0.23667712,0.11078717,0.39341693,-0.01943635,0.35893417,1
29,81,91,177,18,0.09620991,0.09717868,-0.00874636,0.08934169,0.11078717,0.2476489,-0.00680272,0.23667712,0.11078717,0.39341693,-0.01943635,0.35736677,1
29,81,90,177,18,0.09620991,0.09717868,-0.00777454,0.08934169,0.11078717,0.2476489,-0.00680272,0.23667712,0.10981535,0.39341693,-0.01943635,0.35736677,1
29,80,90,176,18,0.09620991,0.09874608,-0.00777454,0.08934169,0.11078717,0.2460815,-0.00680272,0.23667712,0.10981535,0.39341693,-0.01846453,0.35736677,1
29,80,91,176,18,0.09620991,0.09874608,-0.00874636,0.08934169,0.11078717,0.2460815,-0.00680272,0.23667712,0.10981535,0.39341693,-0.01846453,0.35736677,1
29,80,91,176,18,0.09533074,0.09874608,-0.00972763,0.08934169,0.10992218,0.2460815,-0.0077821,0.23667712,0.10894942,0.39184953,-0.01945525,0.35579937,1
29,80,91,176,18,0.09533074,0.09874608,-0.00972763,0.08934169,0.10992218,0.2460815,-0.0077821,0.23667712,0.10894942,0.39184953,-0.01945525,0.35579937,1
29,80,91,176,18,0.09533074,0.09874608,-0.00972763,0.08934169,0.10992218,0.2460815,-0.0077821,0.23667712,0.10894942,0.39184953,-0.01945525,0.35579937,1
29,80,91,177,19,0.09533074,0.09874608,-0.00972763,0.09090909,0.10992218,0.24451411,-0.0077821,0.23667712,0.10894942,0.39184953,-0.01945525,0.35579937,1
29,80,91,177,19,0.09533074,0.10015649,-0.00972763,0.09233177,0.10992218,0.2456964,-0.0077821,0.23787167,0.10894942,0.39280125,-0.01945525,0.35680751,1
30,80,91,177,19,0.09533074,0.10015649,-0.00972763,0.09233177,0.10992218,0.2456964,-0.0077821,0.23787167,0.10894942,0.39280125,-0.01945525,0.35837246,1
30,80,91,177,19,0.09620991,0.09874608,-0.00777454,0.09090909,0.11078717,0.24451411,-0.0058309,0.23667712,0.10981535,0.39184953,-0.01846453,0.35736677,1
29,80,91,177,19,0.09620991,0.09733124,-0.00777454,0.08948195,0.11078717,0.2433281,-0.0058309,0.23547881,0.10981535,0.39089482,-0.01749271,0.35478807,1
30,80,91,176,18,0.09620991,0.09591195,-0.00777454,0.08647799,0.11078717,0.24213836,-0.00485909,0.2327044,0.10981535,0.38993711,-0.01749271,0.35377358,1
29,81,91,177,18,0.09620991,0.09291339,-0.00777454,0.08503937,0.10981535,0.24094488,-0.00485909,0.23149606,0.10981535,0.38897638,-0.01749271,0.3511811,1
29,81,91,176,18,0.09708738,0.09291339,-0.00679612,0.08346457,0.11067961,0.24094488,-0.0038835,0.23149606,0.11067961,0.38897638,-0.01456311,0.3511811,1
29,81,91,176,18,0.09708738,0.09291339,-0.00679612,0.08346457,0.11067961,0.24094488,-0.0038835,0.23149606,0.10970874,0.38897638,-0.01456311,0.3511811,1
30,81,91,176,18,0.09708738,0.09433962,-0.00679612,0.08490566,0.11067961,0.24213836,-0.0038835,0.23113208,0.10970874,0.38993711,-0.01553398,0.35220126,1
30,81,91,176,18,0.09796314,0.09576138,-0.00581959,0.08477237,0.11154219,0.2433281,-0.0029098,0.23233909,0.11057226,0.39089482,-0.01454898,0.35321821,1
30,81,92,175,18,0.09796314,0.09717868,-0.00581959,0.0846395,0.11154219,0.24451411,-0.00193986,0.23354232,0.11057226,0.39184953,-0.01454898,0.35423197,1
30,82,92,176,18,0.09796314,0.0970266,-0.00581959,0.08607199,0.11057226,0.2456964,-0.00193986,0.23474178,0.11057226,0.39123631,-0.01454898,0.35524257,1
30,82,91,175,18,0.09796314,0.09984399,-0.00581959,0.08736349,0.11057226,0.24648986,-0.0029098,0.23712949,0.10960233,0.39313573,-0.01551891,0.35725429,1
31,81,91,176,18,0.09699321,0.09828393,-0.00581959,0.08736349,0.11057226,0.24648986,-0.0029098,0.23712949,0.10960233,0.39313573,-0.01551891,0.35881435,1
31,81,91,176,18,0.09699321,0.09828393,-0.00581959,0.08736349,0.11057226,0.24648986,-0.0029098,0.23712949,0.10960233,0.39313573,-0.01551891,0.35881435,1
31,82,91,176,18,0.09699321,0.09828393,-0.00484966,0.08736349,0.10960233,0.24648986,-0.00193986,0.23712949,0.10960233,0.39313573,-0.01551891,0.35881435,1
